ticker,PE_ratio,ROE,DE_ratio,dividend_yield,revenue_growth,profit_margin,current_ratio,market_cap_raw,beta,sector,forward_return
MMM,28.476706,0.75501,276.638,1.79,0.02,0.13027,1.708,10.954927540523833,1.166,Industrials,0.18951802576385274
AOS,20.812986,0.29197,10.974,1.76,0.0,0.1426,1.497,10.044585654584516,1.343,Industrials,0.46781472920161066
ABT,30.193548,0.13158,25.31,2.26,0.044,0.14718,,11.29112088147034,0.751,Healthcare,-0.18955419931251205
ABBV,97.83545,11.066669,,2.92,0.1,0.0691,,11.612575617163657,0.334,Healthcare,0.37867878850383235
ACN,18.576859,0.25016,25.694,2.94,0.06,0.107609995,1.411,11.144246603798848,1.236,Technology,-0.18494567952095275
ADBE,15.783832,0.55426,57.266,,0.105,0.29997,0.996,11.042728134011275,1.515,Technology,0.3345651403162167
AMD,79.10687,0.07082,6.359,,0.341,0.12515001,2.85,11.528812548886672,1.949,Technology,-0.002764333839705091
AES,10.756579,0.05106,302.896,4.34,0.019,0.0874,0.723,10.066071536373897,0.97,Utilities,-0.27485424165077044
AFL,16.82577,0.13118,28.515,2.11,-0.099,0.21242,5.7,10.779821314604618,0.662,Financial Services,0.17785938214831432
A,27.470459,0.20618999,52.559,0.82,0.094,0.18754,1.957,10.551333493832116,1.298,Healthcare,-0.05464414916869645
APD,,-0.01667,101.991,2.48,0.058,-0.02733,1.459,10.796997045998712,0.888,Basic Materials,0.41489646429548904
ABNB,30.225248,0.30776,26.458,,0.097,0.2203,1.392,10.873669837003614,1.139,Consumer Cyclical,0.3010928451852943
AKAM,32.848972,0.10642,110.548,,0.05,0.12262999,2.281,10.207232029451669,0.723,Technology,-0.011655232847334551
ALB,,-0.04656,32.649,1.02,0.159,-0.09929,2.229,10.2922899003382,1.449,Basic Materials,0.3210667971613695
ARE,,-0.05856,66.615,9.29,-0.052,-0.47384998,1.617,9.959661367223474,1.324,Real Estate,-0.14614715479407053
ALGN,33.00266,0.103870004,2.038,,0.053,0.1017,1.363,10.130084366826384,1.831,Healthcare,0.15202452664461252
ALLE,24.232433,0.36411,116.084,1.17,0.107,0.16092,1.771,10.188288522316167,1.038,Industrials,0.4956564047618896
LNT,22.37264,0.11461,163.145,2.95,0.119,0.19139,0.825,10.262168231394975,0.67,Utilities,-0.11305121257020986
ALL,5.4154844,0.39518002,24.486,2.09,0.051,0.15191,0.367,10.731993568531829,0.235,Financial Services,0.10963742811748634
GOOGL,28.414974,0.35705003,16.133,0.27,0.18,0.32810003,2.005,12.570452224764894,1.086,Communication Services,-0.29043589153889326
GOOG,28.497221,0.35705003,16.133,0.27,0.18,0.32810003,2.005,12.570903955431913,1.086,Communication Services,-0.17013449948999104
MO,16.315535,,,6.33,-0.005,0.34495,0.648,11.05246427361582,0.497,Consumer Defensive,-0.21752266577001345
AMZN,27.86332,0.22286,43.435,,0.136,0.108339995,1.051,12.331350853420455,1.385,Consumer Cyclical,0.21552009028900426
AMCR,37.695488,0.07734,138.731,5.23,0.681,0.03039,1.301,10.364825924816051,0.668,Consumer Cyclical,0.3923941659463735
AEE,21.279808,0.11337,146.563,2.74,-0.048,0.16547,0.658,10.485509065539894,0.586,Utilities,0.4126613500415542
AEP,19.447449,0.12486,159.557,3.01,0.132,0.16364999,0.455,10.840906176369163,,Utilities,-0.04951951849298292
AXP,21.96591,0.33992,190.921,0.96,0.106,0.16174999,1.405,11.367395606913849,1.128,Financial Services,0.26049789744398993
AIG,13.995504,0.07399,22.329,2.28,-0.068,0.11622,0.623,10.623116013512751,0.598,Financial Services,-0.05953147997779362
AMT,30.421053,0.28839,418.09,3.61,0.077,0.28106,0.59,10.95092073941029,0.944,Real Estate,0.3111918778226362
AWK,23.286467,0.10457,140.983,2.58,0.097,0.21933001,0.421,10.41264488759589,0.78,Utilities,0.29891526605969415
AMP,14.554428,0.59589,50.038,1.37,0.086,0.19586,2.435,10.643188090035414,1.251,Financial Services,-0.04471516108257434
AME,35.779686,0.14594,21.482,0.54,0.134,0.19999,1.062,10.723341928404484,1.036,Industrials,-0.2894603304075519
AMGN,25.887367,1.0610299,630.677,2.64,0.086,0.20982,1.14,11.298491534850617,0.472,Healthcare,0.40987227190598413
APH,44.477478,0.36851,118.935,0.7,0.491,0.1849,2.979,11.260212211108671,1.21,Technology,0.017112026714947104
ADI,73.857765,0.06573,26.5,1.2,0.259,0.20575,2.19,11.21820176491298,1.031,Technology,-0.19656590938425927
AON,18.89418,0.4694,166.422,0.95,0.037,0.21506001,1.11,10.839340061650796,0.814,Financial Services,-0.2532576172535912
APA,6.6626797,0.27427998,66.895,3.71,-0.164,0.16093999,0.775,9.998449127938148,0.698,Energy,-0.18630271664922082
APO,18.1793,0.14698,31.434,1.63,0.877,0.109840006,5.428,10.859645601680574,1.564,Financial Services,-0.2600276469582768
AAPL,32.664555,1.5202099,102.63,0.4,0.157,0.27037,0.974,12.578959888608978,1.107,Technology,-0.16658016693715325
AMAT,36.870758,0.35508,34.533,0.56,-0.035,0.24669,2.61,11.455354839523078,1.677,Technology,-0.2616556480807551
APP,38.388557,2.12945,166.056,,0.208,0.60827,3.322,11.115226739195965,2.49,Communication Services,0.33151631200544146
APTV,113.76666,0.01948,85.209,,0.05,0.008090001,1.736,10.265689657184128,1.5,Consumer Cyclical,0.13946098772835042
